sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
屏東(枋山),屏東縣,36,,良好,0.6,0.15,41.3,39.2,4,1,1.1,1.1,0,6,66,"2024-11-18 20:00",,0.1,2.8,5,0,120.651472,22.260899,313
宜蘭（頭城）,宜蘭縣,36,,良好,0,0.14,37,39.3,11,5,5,4.9,0,1,25,"2024-11-18 20:00",,0.1,5.7,16,0,121.82463916,24.85366672,312
新北(樹林),新北市,35,,良好,0.3,0.34,21.3,22.6,11,10,21.7,29.4,7.7,0.1,158,"2024-11-18 20:00",,0.4,6.3,15,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,80,細懸浮微粒,普通,1.9,0.41,18.4,24.4,51,22,19.5,20.5,1,2.1,325,"2024-11-18 20:00",,0.4,27.1,48,1,120.37722,22.35222,204
臺南（麻豆）,臺南市,50,,良好,0.7,0.2,24.3,30.3,33,8,9.5,10.1,0.6,2.5,4,"2024-11-18 20:00",,0.2,10.5,50,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,35,,良好,0.9,0.27,17.5,21.9,27,6,15.7,16.3,0.6,1.5,18,"2024-11-18 20:00",,0.3,7.9,35,,120.24535,22.87985556,202
彰化（員林）,彰化縣,26,,良好,1.2,0.22,24.5,28.4,15,7,9.6,10.1,0.4,2.1,344,"2024-11-18 20:00",,0.2,6.1,22,1,120.56373,23.96117,201
大城,彰化縣,39,,良好,1.8,0.19,34.8,38.4,26,9,6.3,7.4,1.1,10,52,"2024-11-18 20:00",,0.1,11.9,32,1,120.26964167,23.85493056,85
富貴角,新北市,47,,良好,0.1,0.13,46,46.8,45,13,0.5,0.5,0,12.1,50,"2024-11-18 20:00",,0.1,13.1,47,0,121.53656894,25.29681695,84
麥寮,雲林縣,46,,良好,3.5,0.44,23.4,30.1,27,7,16.6,17.3,0.7,5.9,2,"2024-11-18 20:00",,0.3,11.7,46,2,120.251825,23.753506,83
